BPI Sum,0.4155%
50% Franklin,0.1273%
2/3 Franklin,2.1280%
Total Votes,800
District,Population,Pop. Proportion,# Votes / Member,Normalized BPI,BPI Diff
1,4038, 10.36%,82, 10.37%, 0.0119%
2,5886, 15.10%,112, 15.11%, 0.0076%
3,1453, 3.73%,31, 3.75%, 0.0253%
4,3468, 8.90%,71, 8.89%,-0.0044%
5,1408, 3.61%,30, 3.63%, 0.0134%
6,2460, 6.31%,51, 6.23%,-0.0791%
7,1406, 3.61%,30, 3.63%, 0.0185%
8,1285, 3.30%,27, 3.25%,-0.0449%
9,2237, 5.74%,47, 5.79%, 0.0482%
10,1914, 4.91%,40, 4.91%,-0.0003%
11,2205, 5.66%,46, 5.66%, 0.0050%
12,2838, 7.28%,58, 7.29%, 0.0079%
13,2283, 5.86%,47, 5.79%,-0.0698%
14,2088, 5.36%,44, 5.39%, 0.0315%
15,2192, 5.62%,46, 5.66%, 0.0383%
16,1810, 4.64%,38, 4.64%,-0.0092%
