BPI Sum,0.4434%
50% Franklin,0.1133%
2/3 Franklin,2.0833%
Total Votes,700
District,Population,Pop. Proportion,# Votes / Member,Normalized BPI,BPI Diff
1,4038, 10.36%,72, 10.42%, 0.0578%
2,5886, 15.10%,98, 15.10%, 0.0005%
3,1453, 3.73%,27, 3.75%, 0.0212%
4,3468, 8.90%,62, 8.87%,-0.0321%
5,1408, 3.61%,26, 3.60%,-0.0117%
6,2460, 6.31%,45, 6.29%,-0.0261%
7,1406, 3.61%,26, 3.60%,-0.0065%
8,1285, 3.30%,24, 3.30%, 0.0052%
9,2237, 5.74%,41, 5.77%, 0.0300%
10,1914, 4.91%,35, 4.91%,-0.0062%
11,2205, 5.66%,40, 5.61%,-0.0467%
12,2838, 7.28%,51, 7.32%, 0.0404%
13,2283, 5.86%,42, 5.92%, 0.0666%
14,2088, 5.36%,38, 5.32%,-0.0411%
15,2192, 5.62%,40, 5.61%,-0.0133%
16,1810, 4.64%,33, 4.61%,-0.0381%
